"","GSPC.Open","GSPC.High","GSPC.Low","GSPC.Close","GSPC.Volume","GSPC.Adjusted"
"2020-06-29",3018.590088,3165.810059,2999.73999,3130.01001,17793010000,3130.01001
"2020-07-06",3155.290039,3186.820068,3115.699951,3185.040039,23572210000,3185.040039
"2020-07-13",3205.080078,3238.280029,3127.659912,3224.72998,21991770000,3224.72998
"2020-07-20",3224.290039,3279.98999,3200.050049,3215.629883,20959710000,3215.629883
"2020-07-27",3219.840088,3272.169922,3204.129883,3271.120117,22039370000,3271.120117
"2020-08-03",3288.26001,3352.540039,3284.530029,3351.280029,22369880000,3351.280029
"2020-08-10",3356.040039,3387.889893,3326.439941,3372.850098,20016990000,3372.850098
"2020-08-17",3380.860107,3399.959961,3354.689941,3397.159912,18785350000,3397.159912
"2020-08-24",3418.090088,3509.22998,3413.129883,3508.01001,18887790000,3508.01001
"2020-08-31",3509.72998,3588.110107,3349.629883,3426.959961,22040710000,3426.959961
"2020-09-07",3371.879883,3425.550049,3310.469971,3340.969971,16483130000,3340.969971
"2020-09-14",3363.560059,3428.919922,3292.399902,3319.469971,24034260000,3319.469971
"2020-09-21",3285.570068,3323.350098,3209.449951,3298.459961,21547840000,3298.459961
"2020-09-28",3333.899902,3397.179932,3323.689941,3348.419922,20352550000,3348.419922
"2020-10-05",3367.27002,3482.340088,3354.540039,3477.139893,19733380000,3477.139893
"2020-10-12",3500.02002,3549.850098,3440.889893,3483.810059,19268280000,3483.810059
"2020-10-19",3493.659912,3502.419922,3415.340088,3465.389893,19895410000,3465.389893
"2020-10-26",3441.419922,3441.419922,3233.939941,3269.959961,22808450000,3269.959961
"2020-11-02",3296.199951,3529.050049,3279.73999,3509.439941,22988840000,3509.439941
"2020-11-09",3583.040039,3645.98999,3511.909912,3585.149902,28790600000,3585.149902
"2020-11-16",3600.159912,3628.51001,3543.840088,3557.540039,23922170000,3557.540039
"2020-11-23",3566.820068,3644.310059,3552.77002,3638.350098,18984870000,3638.350098
"2020-11-30",3634.179932,3699.199951,3594.389893,3699.120117,26902810000,3699.120117
"2020-12-07",3694.72998,3712.389893,3633.399902,3663.459961,23533560000,3663.459961
"2020-12-14",3675.27002,3726.699951,3645.840088,3709.409912,24265420000,3709.409912
"2020-12-21",3684.280029,3711.23999,3636.47998,3703.060059,14413820000,3703.060059
"2020-12-28",3723.030029,3760.199951,3723.030029,3756.070068,13232200000,3756.070068
"2021-01-04",3764.610107,3826.689941,3662.709961,3824.679932,25484320000,3824.679932
"2021-01-11",3803.139893,3823.600098,3749.620117,3768.25,24551330000,3768.25
"2021-01-18",3781.879883,3861.449951,3780.370117,3841.469971,19099620000,3841.469971
"2021-01-25",3851.679932,3870.899902,3694.120117,3714.23999,36413520000,3714.23999
"2021-02-01",3731.169922,3894.560059,3725.620117,3886.830078,25430390000,3886.830078
"2021-02-08",3892.590088,3937.22998,3884.939941,3934.830078,22694360000,3934.830078
"2021-02-15",3939.610107,3950.429932,3885.030029,3906.709961,19353010000,3906.709961
"2021-02-22",3885.550049,3928.649902,3789.540039,3811.149902,31119200000,3811.149902
"2021-03-01",3842.51001,3914.5,3723.340088,3841.939941,30700830000,3841.939941
"2021-03-08",3844.389893,3960.27002,3819.25,3943.340088,26945080000,3943.340088
"2021-03-15",3942.959961,3983.870117,3886.75,3913.100098,25796900000,3913.100098
"2021-03-22",3916.47998,3978.189941,3853.5,3974.540039,24132360000,3974.540039
"2021-03-29",3969.310059,4020.629883,3943.25,4019.870117,17439630000,4019.870117
"2021-04-05",4034.439941,4129.47998,4034.439941,4128.799805,19677100000,4128.799805
"2021-04-12",4124.709961,4191.310059,4114.819824,4185.470215,19468590000,4185.470215
"2021-04-19",4179.799805,4194.169922,4118.379883,4180.169922,19795190000,4180.169922
"2021-04-26",4185.029785,4218.779785,4174.850098,4181.169922,19777170000,4181.169922
"2021-05-03",4191.97998,4238.040039,4128.589844,4232.600098,21049220000,4232.600098
"2021-05-10",4228.290039,4236.390137,4056.879883,4173.850098,17946860000,4173.850098
