Weekly_Date,XOM,CVX
11/6/2017,83.3,115.37
10/30/2017,83.71,113.17
10/23/2017,83.15,118.72
10/16/2017,82.7,119.84
10/9/2017,81.84,117.34
10/2/2017,81.3,116.42
9/25/2017,80.03,117.23
9/18/2017,79.79,114.42
9/11/2017,79.41,111.83
8/28/2017,76.9,108.54
8/21/2017,76.47,106.48
8/14/2017,78.62,109.26
8/7/2017,80.17,109.81
7/31/2017,79.83,108.39
7/24/2017,80.06,103.18
7/17/2017,81,104.32
7/10/2017,80,103.44
7/3/2017,80.79,104.24
6/26/2017,81.57,105.03
6/19/2017,83.22,108.31
6/12/2017,82.67,107.42
6/5/2017,79.44,102.8
5/22/2017,82.11,107.09
5/15/2017,83,107.15
5/8/2017,82,105.93
5/1/2017,81.51,106.26
4/24/2017,81.28,105.79
4/17/2017,81.85,106.17
4/10/2017,83.12,109.12
4/3/2017,82.02,107.22
3/27/2017,80.82,107
3/20/2017,81.72,107.27
3/13/2017,81.5,110.51
3/6/2017,82.44,113.25
2/27/2017,81.13,110.65
2/13/2017,82.77,113.36
2/6/2017,83.55,113.28
1/30/2017,85.42,113.15
1/23/2017,85.68,115.12
1/9/2017,88.22,116.29
12/19/2016,91.38,118.37
12/12/2016,90.14,117.77
12/5/2016,87.39,113.39
11/28/2016,86.95,110.95
11/21/2016,86.44,110.36
11/14/2016,85.3,106.15
11/7/2016,84.49,106
10/31/2016,83.88,103.82
10/24/2016,86.74,101.56
10/17/2016,86.48,100.94
10/10/2016,87.54,103.21
10/3/2016,86.94,102.55
9/26/2016,83.52,99.49
9/19/2016,84.58,98.33
9/12/2016,86.78,101.2
8/29/2016,87.04,101.24
8/22/2016,87.31,101.75
8/15/2016,88.42,102.61
8/8/2016,88.05,100.99
8/1/2016,88.08,101.33
7/25/2016,93.47,104.86
7/18/2016,94.92,106.67
7/11/2016,93.75,104.81
6/27/2016,88.9,101.25
6/20/2016,91.29,102.88
6/13/2016,89.92,101.5
6/6/2016,88.87,101.34
5/23/2016,89,99.18
5/16/2016,89.2,101.87
5/9/2016,88.6,101.62
5/2/2016,88.24,101.83
4/25/2016,87.09,101.47
4/18/2016,83.89,95.76
4/11/2016,83.33,96.87
4/4/2016,83.06,94.44
3/28/2016,84.03,94.9
3/21/2016,83.84,97.02
3/14/2016,81.48,93.57
3/7/2016,82.31,87.94
2/29/2016,81.88,84.94
2/22/2016,83.21,87.87
2/8/2016,79.3,81.76
2/1/2016,76.66,85.15
1/25/2016,75.75,82.29
1/11/2016,75.01,82.85
1/4/2016,77.5,89.53
12/28/2015,78.12,90.31
12/21/2015,77.79,90.4
12/14/2015,74.3,86.3
12/7/2015,77.33,87.48
11/30/2015,81.42,90.64
11/23/2015,79.6,88.65
11/16/2015,77.94,87.79
11/9/2015,83.56,93.48
11/2/2015,82.3,90.61
10/26/2015,82.52,90.87
10/19/2015,82.01,90.36
10/12/2015,79.59,89.86
10/5/2015,76.65,82.41
9/28/2015,72.62,76.66
9/21/2015,73.1,78.3
9/14/2015,72.31,75.52
8/31/2015,74.28,80.01
8/24/2015,67.99,70.55
8/17/2015,77.93,84.46
8/10/2015,77.09,84.2
8/3/2015,78.7,87.28
7/27/2015,79.23,89.86
7/20/2015,82.15,93.3
7/13/2015,82.11,94.31
7/6/2015,82.42,95.06
6/29/2015,83.05,97.5
6/22/2015,85.39,99.83
6/15/2015,83.53,99.45
6/8/2015,84.18,101.29
6/1/2015,85.25,103.47
5/18/2015,87.31,107.5
5/11/2015,88.53,108.65
5/4/2015,89.42,109.38
4/27/2015,87.41,110.34
4/20/2015,87.13,109.57
4/13/2015,85.92,107.35
4/6/2015,85.15,106.03
3/30/2015,84.27,104.97
3/23/2015,85.02,107.51
3/16/2015,83.71,101.44
3/9/2015,86.12,103.6
3/2/2015,88.34,106.32
2/23/2015,89.26,107.79
2/9/2015,91.4,109.84
2/2/2015,87.85,103.98
1/26/2015,90.61,107.22
1/12/2015,91.24,107.47
1/5/2015,92.1,110.96
12/29/2014,93.33,113.44
12/22/2014,92.96,112.36
12/15/2014,87.53,103.13
12/8/2014,92.9,109.89
12/1/2014,90.36,109.38
11/24/2014,96.34,118.13
11/17/2014,94.85,115.96
11/10/2014,96.87,119.58
11/3/2014,96.56,119.83
10/27/2014,93.85,114.38
10/20/2014,90.63,111.53
10/13/2014,91.32,113.55
10/6/2014,94.01,117.91
9/29/2014,94.71,120.72
9/22/2014,96.9,124.6
9/15/2014,95.73,122.35
9/8/2014,98.92,126.68
8/25/2014,98.81,127.57
8/18/2014,99.28,126.27
8/11/2014,99.28,128.16
8/4/2014,98.74,127.69
7/28/2014,103.29,133.56
7/21/2014,102.36,130.11
7/14/2014,102.17,128.8
7/7/2014,102.33,130.44
6/30/2014,101.21,130.15
6/23/2014,104.11,132.52
6/16/2014,102.57,127.15
6/9/2014,101.45,124.01
6/2/2014,100.53,122.93
5/19/2014,100.42,122.95
5/12/2014,102.33,125.57
5/5/2014,101.69,124.82
4/28/2014,100.72,124.26
4/21/2014,100.03,123.05
4/14/2014,97.49,117.84
4/7/2014,97.25,118.32
3/31/2014,98.49,118.79
3/24/2014,94.76,116
3/17/2014,93.95,114.26
3/10/2014,95.15,115.45
3/3/2014,95.76,114.79
2/24/2014,95.61,113.37
2/10/2014,90.45,112.47
2/3/2014,91.92,112.35
1/27/2014,95.08,116.25
1/13/2014,99.91,120.81
1/6/2014,99.94,124.59
12/30/2013,101.53,124.79
12/23/2013,99,123.41
12/16/2013,96.28,120.46
12/9/2013,95.95,122.27
12/2/2013,93.27,122.87
11/25/2013,95.21,123.77
11/18/2013,95.98,120.7
11/11/2013,92.85,121.18
11/4/2013,90,118.59
10/28/2013,87.83,120.56
10/21/2013,87.5,119.63
10/14/2013,86.51,117.33
10/7/2013,85.57,117.43
9/30/2013,86.06,121.6
9/23/2013,88.29,124.62
9/16/2013,88.88,124.98
9/9/2013,87.34,121.21
8/26/2013,87.5,119.74
8/19/2013,87.82,119.69
8/12/2013,90.43,122
8/5/2013,91.42,124.72
7/29/2013,94.51,127.37
7/22/2013,94.87,126.71
7/15/2013,93.19,124.11
7/8/2013,91.96,121.29
7/1/2013,90.39,118.35
6/24/2013,88.95,117.71
6/17/2013,90.97,120.45
6/10/2013,91.93,122.94
6/3/2013,90.53,122.35
5/20/2013,91.61,123.43
5/13/2013,89.8,122.9
5/6/2013,90.25,123.32
4/29/2013,88.26,120.44
4/22/2013,87.61,116.39
4/15/2013,88.29,118.81
4/8/2013,89.11,117.45
4/1/2013,90.13,118.99
3/25/2013,89.5,121.5
3/18/2013,88.74,118.78
3/11/2013,89.01,118.63
3/4/2013,89.13,116.78
2/25/2013,89.88,116.5
2/11/2013,88.35,115.68
2/4/2013,89.41,115.02
1/28/2013,91.67,116.56
1/14/2013,89.46,111.38
1/7/2013,88.31,110.02
12/31/2012,85.04,105.75
12/24/2012,87.13,109.3
12/17/2012,88.36,107.97
12/10/2012,88.58,107.1
12/3/2012,88.55,106
11/26/2012,88.32,104.75
11/19/2012,87.4,103.67
11/12/2012,87.27,106.45
11/5/2012,90.04,107.74
10/22/2012,91.67,113.61
10/15/2012,91.35,112.16
10/8/2012,92.15,117.19
10/1/2012,91.79,116.92
9/24/2012,91.31,117.55
9/17/2012,91.92,117.17
9/10/2012,89.82,114.2
8/27/2012,88.07,112.18
8/20/2012,88.07,112.69
8/13/2012,88.1,113.32
8/6/2012,87.55,110.75
7/30/2012,87.28,108.87
7/23/2012,84.8,107.25
7/16/2012,84.83,105.71
7/9/2012,84.52,104.97
7/2/2012,85.44,105.59
6/25/2012,81.22,99.34
6/18/2012,82.51,103.14
6/11/2012,81.62,101.99
6/4/2012,78.09,96.48
5/21/2012,81.42,98.81
5/14/2012,82.27,101.74
5/7/2012,84.29,103.08
4/30/2012,85.96,106.16
4/23/2012,84.53,101.19
4/16/2012,83.24,101.62
4/9/2012,83.98,103.3
4/2/2012,86.6,106.85
3/26/2012,86.18,107.23
3/19/2012,86.08,110.52
3/12/2012,84.5,109.65
3/5/2012,86.17,109.14
2/27/2012,87.15,108.29
2/13/2012,84.34,106.16
2/6/2012,84.87,104.62
1/30/2012,85.27,103.4
