Colorado All Grades All Formulations Retail Gasoline Prices Weekly
https://www.eia.gov/opendata/v1/qb.php?category=240850&sdid=PET.EMM_EPM0_PTE_SCO_DPG.W
21:27:09 GMT-0700 (Pacific Daylight Time)
Source: U.S. Energy Information Administration
Week of,Series ID: PET.EMM_EPM0_PTE_SCO_DPG.W Dollars per Gallon
02/15/2016,1.653
02/8/2016,1.729
02/1/2016,1.778
01/25/2016,1.835
01/18/2016,1.882
01/11/2016,1.931
01/4/2016,1.943
12/28/2015,1.954
12/21/2015,1.974
12/14/2015,1.947
12/7/2015,1.975
11/30/2015,2.008
11/23/2015,2.041
11/16/2015,2.098
11/9/2015,2.158
11/2/2015,2.209
10/26/2015,2.284
10/19/2015,2.354
10/12/2015,2.421
10/5/2015,2.462
09/28/2015,2.526
09/21/2015,2.617
09/14/2015,2.709
09/7/2015,2.779
08/31/2015,2.857
08/24/2015,2.917
08/17/2015,2.942
08/10/2015,2.841
08/3/2015,2.858
07/27/2015,2.874
07/20/2015,2.827
07/13/2015,2.761
07/6/2015,2.733
06/29/2015,2.719
06/22/2015,2.721
06/15/2015,2.715
06/8/2015,2.679
06/1/2015,2.666
05/25/2015,2.658
05/18/2015,2.635
05/11/2015,2.598
05/4/2015,2.54
04/27/2015,2.458
04/20/2015,2.409
04/13/2015,2.314
04/6/2015,2.281
03/30/2015,2.278
03/23/2015,2.276
03/16/2015,2.284
03/9/2015,2.294
03/2/2015,2.254
02/23/2015,2.219
02/16/2015,2.135
02/9/2015,2.078
02/2/2015,1.937
01/26/2015,1.933
01/19/2015,1.932
01/12/2015,1.993
01/5/2015,2.116
12/29/2014,2.213
12/22/2014,2.385
12/15/2014,2.577
12/8/2014,2.723
12/1/2014,2.841
11/24/2014,2.917
11/17/2014,3.003
11/10/2014,3.063
11/3/2014,3.102
10/27/2014,3.157
10/20/2014,3.215
10/13/2014,3.326
10/6/2014,3.461
09/29/2014,3.527
09/22/2014,3.587
09/15/2014,3.644
09/8/2014,3.678
09/1/2014,3.691
08/25/2014,3.706
08/18/2014,3.711
08/11/2014,3.69
08/4/2014,3.655
07/28/2014,3.652
07/21/2014,3.656
07/14/2014,3.661
07/7/2014,3.662
06/30/2014,3.661
06/23/2014,3.626
06/16/2014,3.545
06/9/2014,3.513
06/2/2014,3.509
05/26/2014,3.505
05/19/2014,3.51
05/12/2014,3.524
05/5/2014,3.548
04/28/2014,3.57
04/21/2014,3.577
04/14/2014,3.59
04/7/2014,3.612
03/31/2014,3.636
03/24/2014,3.65
03/17/2014,3.652
03/10/2014,3.647
03/3/2014,3.59
02/24/2014,3.51
02/17/2014,3.397
02/10/2014,3.251
02/3/2014,3.225
01/27/2014,3.235
01/20/2014,3.247
01/13/2014,3.245
01/6/2014,3.223
12/30/2013,3.183
12/23/2013,3.093
12/16/2013,3.073
12/9/2013,3.107
12/2/2013,3.155
11/25/2013,3.185
11/18/2013,3.21
11/11/2013,3.236
11/4/2013,3.293
10/28/2013,3.34
10/21/2013,3.396
10/14/2013,3.432
10/7/2013,3.471
09/30/2013,3.524
09/23/2013,3.573
09/16/2013,3.598
09/9/2013,3.62
09/2/2013,3.593
08/26/2013,3.556
08/19/2013,3.564
08/12/2013,3.585
08/5/2013,3.571
07/29/2013,3.586
07/22/2013,3.582
07/15/2013,3.585
07/8/2013,3.583
07/1/2013,3.637
06/24/2013,3.691
06/17/2013,3.736
06/10/2013,3.797
06/3/2013,3.825
05/27/2013,3.87
05/20/2013,3.884
05/13/2013,3.703
05/6/2013,3.609
04/29/2013,3.573
04/22/2013,3.568
04/15/2013,3.603
04/8/2013,3.642
04/1/2013,3.633
03/25/2013,3.605
03/18/2013,3.609
03/11/2013,3.607
03/4/2013,3.624
02/25/2013,3.638
02/18/2013,3.563
02/11/2013,3.391
02/4/2013,3.214
01/28/2013,2.998
01/21/2013,2.872
01/14/2013,2.889
01/7/2013,2.957
12/31/2012,3.034
12/24/2012,3.108
12/17/2012,3.218
12/10/2012,3.303
12/3/2012,3.373
11/26/2012,3.436
11/19/2012,3.45
11/12/2012,3.479
11/5/2012,3.545
10/29/2012,3.604
10/22/2012,3.686
10/15/2012,3.75
10/8/2012,3.76
10/1/2012,3.779
09/24/2012,3.789
09/17/2012,3.765
09/10/2012,3.659
09/3/2012,3.596
08/27/2012,3.556
08/20/2012,3.558
08/13/2012,3.545
08/6/2012,3.509
07/30/2012,3.528
07/23/2012,3.57
07/16/2012,3.585
07/9/2012,3.613
07/2/2012,3.646
06/25/2012,3.693
06/18/2012,3.735
06/11/2012,3.723
06/4/2012,3.741
05/28/2012,3.764
05/21/2012,3.804
05/14/2012,3.837
05/7/2012,3.87
04/30/2012,3.903
04/23/2012,3.927
04/16/2012,3.936
04/9/2012,3.901
04/2/2012,3.854
03/26/2012,3.75
03/19/2012,3.664
03/12/2012,3.486
03/5/2012,3.286
02/27/2012,3.191
02/20/2012,3.129
02/13/2012,3.113
02/6/2012,3.103
01/30/2012,3.031
01/23/2012,3.038
01/16/2012,3.055
