New York All Grades All Formulations Retail Gasoline Prices Weekly
https://www.eia.gov/opendata/v1/qb.php?category=240886&sdid=PET.EMM_EPM0_PTE_SNY_DPG.W
21:26:00 GMT-0700 (Pacific Daylight Time)
Source: U.S. Energy Information Administration
Week of,Series ID: PET.EMM_EPM0_PTE_SNY_DPG.W Dollars per Gallon
07/7/2014,3.986
06/30/2014,3.984
06/23/2014,3.966
06/16/2014,3.935
06/9/2014,3.935
06/2/2014,3.927
05/26/2014,3.936
05/19/2014,3.936
05/12/2014,3.962
05/5/2014,3.974
04/28/2014,3.973
04/21/2014,3.892
04/14/2014,3.836
04/7/2014,3.827
03/31/2014,3.827
03/24/2014,3.827
03/17/2014,3.831
03/10/2014,3.83
03/3/2014,3.794
02/24/2014,3.775
02/17/2014,3.751
02/10/2014,3.671
02/3/2014,3.689
01/27/2014,3.697
01/20/2014,3.712
01/13/2014,3.741
01/6/2014,3.785
12/30/2013,3.774
12/23/2013,3.749
12/16/2013,3.734
12/9/2013,3.722
12/2/2013,3.699
11/25/2013,3.668
11/18/2013,3.62
11/11/2013,3.606
11/4/2013,3.636
10/28/2013,3.661
10/21/2013,3.691
10/14/2013,3.707
10/7/2013,3.742
09/30/2013,3.781
09/23/2013,3.851
09/16/2013,3.905
09/9/2013,3.928
09/2/2013,3.932
08/26/2013,3.902
08/19/2013,3.91
08/12/2013,3.941
08/5/2013,3.978
07/29/2013,3.999
07/22/2013,3.951
07/15/2013,3.913
07/8/2013,3.791
07/1/2013,3.778
06/24/2013,3.8
06/17/2013,3.793
06/10/2013,3.795
06/3/2013,3.792
05/27/2013,3.808
05/20/2013,3.793
05/13/2013,3.79
05/6/2013,3.762
04/29/2013,3.775
04/22/2013,3.806
04/15/2013,3.876
04/8/2013,3.914
04/1/2013,3.954
03/25/2013,3.983
03/18/2013,3.999
03/11/2013,4.029
03/4/2013,4.045
02/25/2013,4.079
02/18/2013,4.045
02/11/2013,4.006
02/4/2013,3.945
01/28/2013,3.806
01/21/2013,3.78
01/14/2013,3.798
01/7/2013,3.802
12/31/2012,3.794
12/24/2012,3.785
12/17/2012,3.816
12/10/2012,3.869
12/3/2012,3.92
11/26/2012,3.966
11/19/2012,3.978
11/12/2012,3.942
11/5/2012,3.947
10/29/2012,3.97
10/22/2012,4.071
10/15/2012,4.153
10/8/2012,4.186
10/1/2012,4.151
09/24/2012,4.158
09/17/2012,4.203
09/10/2012,4.088
09/3/2012,4.076
08/27/2012,4.026
08/20/2012,3.997
08/13/2012,3.963
08/6/2012,3.863
07/30/2012,3.819
07/23/2012,3.82
07/16/2012,3.732
07/9/2012,3.689
07/2/2012,3.646
06/25/2012,3.667
06/18/2012,3.722
06/11/2012,3.786
06/4/2012,3.871
05/28/2012,3.915
05/21/2012,3.979
05/14/2012,4.029
05/7/2012,4.055
04/30/2012,4.124
04/23/2012,4.163
04/16/2012,4.17
04/9/2012,4.187
04/2/2012,4.143
03/26/2012,4.098
03/19/2012,4.054
03/12/2012,4.021
03/5/2012,4.021
02/27/2012,3.983
02/20/2012,3.917
02/13/2012,3.874
02/6/2012,3.826
01/30/2012,3.796
01/23/2012,3.737
01/16/2012,3.705
01/9/2012,3.666
01/2/2012,3.585
12/26/2011,3.566
12/19/2011,3.587
12/12/2011,3.611
12/5/2011,3.627
11/28/2011,3.666
11/21/2011,3.689
11/14/2011,3.717
11/7/2011,3.719
10/31/2011,3.738
10/24/2011,3.757
10/17/2011,3.757
10/10/2011,3.744
10/3/2011,3.775
09/26/2011,3.858
09/19/2011,3.899
09/12/2011,3.937
09/5/2011,3.93
08/29/2011,3.879
08/22/2011,3.906
08/15/2011,3.942
08/8/2011,3.995
08/1/2011,4.02
07/25/2011,4.004
07/18/2011,3.972
07/11/2011,3.915
07/4/2011,3.886
06/27/2011,3.916
06/20/2011,3.964
06/13/2011,3.989
06/6/2011,4.025
05/30/2011,4.069
05/23/2011,4.134
05/16/2011,4.202
05/9/2011,4.211
05/2/2011,4.192
04/25/2011,4.117
04/18/2011,4.061
04/11/2011,3.981
04/4/2011,3.895
03/28/2011,3.811
03/21/2011,3.789
03/14/2011,3.796
03/7/2011,3.752
02/28/2011,3.605
02/21/2011,3.452
02/14/2011,3.42
02/7/2011,3.416
01/31/2011,3.4
01/24/2011,3.402
01/17/2011,3.391
01/10/2011,3.367
01/3/2011,3.351
12/27/2010,3.336
12/20/2010,3.309
12/13/2010,3.301
12/6/2010,3.255
11/29/2010,3.2
11/22/2010,3.186
11/15/2010,3.138
11/8/2010,3.065
11/1/2010,3.049
10/25/2010,3.055
10/18/2010,3.049
10/11/2010,2.999
10/4/2010,2.903
09/27/2010,2.84
09/20/2010,2.837
09/13/2010,2.846
09/6/2010,2.837
08/30/2010,2.86
08/23/2010,2.885
08/16/2010,2.913
08/9/2010,2.923
08/2/2010,2.942
07/26/2010,2.932
07/19/2010,2.924
07/12/2010,2.933
07/5/2010,2.94
06/28/2010,2.958
06/21/2010,2.958
06/14/2010,2.942
06/7/2010,2.972
05/31/2010,3.006
05/24/2010,3.046
05/17/2010,3.096
05/10/2010,3.112
05/3/2010,3.095
04/26/2010,3.042
04/19/2010,3.021
04/12/2010,3.01
04/5/2010,2.992
03/29/2010,2.957
03/22/2010,2.963
03/15/2010,2.96
03/8/2010,2.938
03/1/2010,2.919
02/22/2010,2.91
02/15/2010,2.909
02/8/2010,2.94
02/1/2010,2.954
01/25/2010,2.969
01/18/2010,2.976
01/11/2010,2.965
01/4/2010,2.907
12/28/2009,2.883
12/21/2009,2.874
12/14/2009,2.889
12/7/2009,2.908
11/30/2009,2.899
11/23/2009,2.907
11/16/2009,2.905
11/9/2009,2.916
11/2/2009,2.907
10/26/2009,2.869
10/19/2009,2.801
10/12/2009,2.743
10/5/2009,2.762
09/28/2009,2.801
09/21/2009,2.839
09/14/2009,2.859
09/7/2009,2.873
08/31/2009,2.876
08/24/2009,2.873
08/17/2009,2.876
08/10/2009,2.848
08/3/2009,2.788
07/27/2009,2.752
07/20/2009,2.775
07/13/2009,2.828
07/6/2009,2.869
06/29/2009,2.881
06/22/2009,2.887
06/15/2009,2.828
06/8/2009,2.767
06/1/2009,2.671
05/25/2009,2.612
05/18/2009,2.498
05/11/2009,2.404
05/4/2009,2.269
04/27/2009,2.246
04/20/2009,2.233
04/13/2009,2.213
04/6/2009,2.201
03/30/2009,2.195
03/23/2009,2.134
03/16/2009,2.113
03/9/2009,2.12
03/2/2009,2.116
02/23/2009,2.132
02/16/2009,2.148
02/9/2009,2.109
02/2/2009,2.07
01/26/2009,1.991
01/19/2009,1.982
01/12/2009,1.947
01/5/2009,1.865
12/29/2008,1.892
12/22/2008,1.945
12/15/2008,1.986
12/8/2008,2.114
12/1/2008,2.217
11/24/2008,2.342
11/17/2008,2.49
11/10/2008,2.661
11/3/2008,2.837
10/27/2008,3.037
10/20/2008,3.261
10/13/2008,3.463
10/6/2008,3.69
09/29/2008,3.775
09/22/2008,3.845
09/15/2008,3.866
09/8/2008,3.845
09/1/2008,3.875
08/25/2008,3.911
08/18/2008,3.978
08/11/2008,4.098
08/4/2008,4.176
07/28/2008,4.238
07/21/2008,4.326
07/14/2008,4.342
07/7/2008,4.341
06/30/2008,4.34
06/23/2008,4.329
06/16/2008,4.32
06/9/2008,4.258
06/2/2008,4.213
05/26/2008,4.151
05/19/2008,4.037
05/12/2008,3.929
05/5/2008,3.847
04/28/2008,3.807
04/21/2008,3.647
04/14/2008,3.517
04/7/2008,3.463
03/31/2008,3.449
03/24/2008,3.437
03/17/2008,3.433
03/10/2008,3.374
03/3/2008,3.354
02/25/2008,3.342
02/18/2008,3.285
02/11/2008,3.268
02/4/2008,3.283
01/28/2008,3.304
01/21/2008,3.329
01/14/2008,3.358
01/7/2008,3.353
12/31/2007,3.322
12/24/2007,3.309
12/17/2007,3.315
12/10/2007,3.327
12/3/2007,3.331
11/26/2007,3.33
11/19/2007,3.321
11/12/2007,3.28
11/5/2007,3.169
10/29/2007,3.052
10/22/2007,2.989
10/15/2007,2.952
10/8/2007,2.956
10/1/2007,2.969
09/24/2007,2.967
09/17/2007,2.943
09/10/2007,2.94
09/3/2007,2.946
08/27/2007,2.962
08/20/2007,3.005
08/13/2007,3.036
08/6/2007,3.077
07/30/2007,3.118
07/23/2007,3.162
07/16/2007,3.182
07/9/2007,3.179
07/2/2007,3.186
06/25/2007,3.196
06/18/2007,3.225
06/11/2007,3.247
06/4/2007,3.26
05/28/2007,3.273
05/21/2007,3.25
05/14/2007,3.194
05/7/2007,3.175
04/30/2007,3.121
04/23/2007,3.053
04/16/2007,3.049
04/9/2007,2.983
04/2/2007,2.939
03/26/2007,2.845
03/19/2007,2.808
03/12/2007,2.772
03/5/2007,2.727
02/26/2007,2.546
02/19/2007,2.465
02/12/2007,2.429
02/5/2007,2.424
01/29/2007,2.448
01/22/2007,2.484
01/15/2007,2.532
01/8/2007,2.563
01/1/2007,2.587
12/25/2006,2.588
12/18/2006,2.558
12/11/2006,2.52
12/4/2006,2.511
11/27/2006,2.452
11/20/2006,2.421
11/13/2006,2.411
11/6/2006,2.402
10/30/2006,2.422
10/23/2006,2.436
